CLAVE DE LA NORMA,TITULO,F. PUBLICACIÓN,F. ENTRADA EN VIGOR,TIPO NORMA,NORMA INTERNACIONAL,PRODUCTO,CONCORDANCIA,RAE,DEPENDENCIA,CCNN,DOCUMENTO
NOM-001-STPS-2008,"EDIFICIOS, LOCALES, INSTALACIONES Y ÁREAS EN LOS CENTROS DE TRABAJO-CONDICIONES DE SEGURIDAD.",2008-11-24T00:00:00Z,2009-01-23T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION LABORAL,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE TRABAJO Y PREVISIÓN SOCIAL,CCNN DE SEGURIDAD Y SALUDA EN EL TRABAJO (STPS),http://www.economia-noms.gob.mx/normas/noms/2008/001stps2008.pdf
NOM-001-ZOO-1994,CAMPAÑA NACIONAL CONTRA LA VARROASIS DE LAS ABEJAS.,1994-04-28T00:00:00Z,1994-04-29T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,PLATA,NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION ZOOSANITARIA (ZOO),http://www.economia-noms.gob.mx/normas/noms/1994/001zoo94.pdf
NOM-002-FITO-2000,POR LA QUE SE ESTABLECE LA CAMPAÑA CONTRA LA BROCA DEL CAFÉ.,2001-04-18T00:00:00Z,2001-04-19T00:00:00Z,DEFINITIVA,ESTA NORMA OFICIAL NO TIENE CONCORDANCIA CON NINGUNA NORMA INTERNACIONAL,CAFE,NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION FITOSANITARIA (FITO),http://www.economia-noms.gob.mx/normas/noms/2001/002fito.pdf
NOM-002-NUCL-2004,PRUEBAS DE FUGA Y HERMETICIDAD DE FUENTES SELLADAS.,2004-09-02T00:00:00Z,2004-11-01T00:00:00Z,DEFINITIVA,ISO-9978-1992. RADIATION PROTECTION-SEALED RADIOACTIVE SOURCES-LEAKAGE TESTS METHODS,PROTECCION AMBIENTAL,PARCIALMENTE,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SECRETARÍA DE ENERGÍA,CCNN DE SEGURIDAD NUCLEAR Y SALVAGUARDIAS (NUCL),http://www.economia-noms.gob.mx/normas/noms/2004/002nucl.pdf
NOM-002-PESC-1993.,"PARA ORDENAR EL APROVECHAMIENTO DE LAS ESPECIES DE CAMARÓN EN AGUAS DE JURISDICCIÓN FEDERAL DE LOS ESTADOS UNIDOS MEXICANOS.(ULTIMA MODIFICACIÓN DEL 28/11/2006)
",1993-12-31T00:00:00Z,1994-01-01T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,CAMARON,NO APLICA,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/1993/002pesc.pdf
NOM-002-SAG/PESC-2013,PARA ORDENAR EL APROVECHAMIENTO DE LAS ESPECIES DE CAMARÓN EN AGUAS DE JURISDICCIÓN FEDERAL DE LOS ESTADOS UNIDOS MEXICANOS.,2013-07-11T00:00:00Z,2013-09-09T00:00:00Z,DEFINITIVA,NO HAY NORMAS EQUIVALENTES.,CAMARON,NO APLICA,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/2010/002sagpesc2013.pdf
NOM-002-SCFI-2011,PRODUCTOS PREENVASADOS-CONTENIDO NETO-TOLERANCIAS Y MÉTODOS DE VERIFICACIÓN.,2012-08-10T00:00:00Z,2012-10-09T00:00:00Z,DEFINITIVA,RECOMENDACIÓN DE LA ORGANIZACIÓN INTERNACIONAL DE METROLOGÍA LEGAL (OIML),INFORMACION COMERCIAL,PARCIALMENTE,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2010/002scfi2011m.pdf
NOM-002-SCT/2011,LISTADO DE LAS SUBSTANCIAS Y MATERIALES PELIGROSOS MÁS USUALMENTE TRANSPORTADOS.,2012-01-27T00:00:00Z,2012-03-27T00:00:00Z,DEFINITIVA,COSULTAR TEXTO DE LA NOM,MATERIALES PELIGROSOS,TOTALMENTE,SERVICIOS RELACIONADOS CON EL TRANSPORTE,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE TERRESTRE (SCT2),http://www.economia-noms.gob.mx/normas/noms/2010/002sct2011.pdf
NOM-002-SCT1-1993,"ESPECIFICACIONES Y REQUERIMIENTOS PARA LA INSTALACIÓN Y OPERACIÓN DE  ESTACIONES DE RADIO-DIFUSIÓN SONORA EN LA BANDA DE 88 A 108 MHZ, CON  PORTADORA PRINCIPAL (ESTA NOM. CUENTA CON DOS MODIFICACIONES)",1993-11-11T00:00:00Z,1993-11-12T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,EQUIPOS Y SISTEMAS DE COMUNICACION,NO APLICA,"RADIO, TELEVISIÓN Y OTRAS TELECOMUNICACIONES",S. COMUNICACIONES Y TRANSPORTES,CCNN DE TELECOMUNICACIONES (SCT1),http://www.economia-noms.gob.mx/normas/noms/1993/02-sct1.pdf
NOM-002-SCT3-2012,QUE ESTABLECE EL CONTENIDO DEL MANUAL GENERAL DE OPERACIONES.,2013-10-31T00:00:00Z,2013-12-30T00:00:00Z,DEFINITIVA,ANEXOS AL CONVENIO SOBRE AVIACIÓN CIVIL INTERNACIONAL,AERONAVES,TOTALMENTE,TRANSPORTE AÉREO,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE AEREO (SCT3),http://www.economia-noms.gob.mx/normas/noms/2010/002sct32012.pdf
NOM-002-SCT4-2013,TERMINOLOGÍA MARÍTIMA-PORTUARIA.,2014-03-04T00:00:00Z,2014-05-05T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA DE ESTA NORMA OFICIAL MEXICANA CON ALGUNA NORMA INTERNACIONAL,TERMINOLOGIA MARITIMA,NO APLICA,TRANSPORTE POR AGUA,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE MARITIMO Y PUERTOS (SCT4),http://www.economia-noms.gob.mx/normas/noms/2010/002sct42014.pdf
NOM-002-SECRE-2010,"INSTALACIONES DE APROVECHAMIENTO DE GAS NATURAL (CANCELA Y SUSTITUYE A LA NOM-002-SECRE-2003, INSTALACIONES DE APROVECHAMIENTO DE GAS NATURAL).",2011-02-04T00:00:00Z,2011-04-05T00:00:00Z,DEFINITIVA,ESTA NORMA NO TIENE CONCORDANCIA CON NINGUNA NORMA INTERNACIONAL,GAS,NO APLICA,AGUA Y SUMINISTRO DE GAS POR DUCTOS,SECRETARÍA DE ENERGÍA,CCNN DE GAS NATURAL (SECRE),http://www.economia-noms.gob.mx/normas/noms/2010/002secre2011.pdf
NOM-002-SEDE-2010,REQUISITOS DE SEGURIDAD Y EFICIENCIA ENERGÉTICA PARA TRANSFORMADORES DE DISTRIBUCIÓN.,2011-12-15T00:00:00Z,2011-06-15T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,TRANSFORMADORES DE DISTRIBUCION,NO APLICA,FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS,SECRETARÍA DE ENERGÍA,CCNN DE INSTALACIONES ELECTRICAS (SEDE),http://www.economia-noms.gob.mx/normas/noms/2010/002sede2011.pdf
NOM-002-SEDE/ENER-2014,REQUISITOS DE SEGURIDAD Y EFICIENCIA ENERGÉTICA PARA TRANSFORMADORES DE DISTRIBUCIÓN.,2014-08-29T00:00:00Z,2015-12-29T00:00:00Z,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL,TRANSFORMADORES DE DISTRIBUCION,NO APLICA,FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS,SECRETARÍA DE ENERGÍA,CCNN DE INSTALACIONES ELECTRICAS (SEDE),http://www.economia-noms.gob.mx/normas/noms/2010/002sedener2014.pdf
NOM-002-SEMARNAT-1996,QUE ESTABLECE LOS LÍMITES MÁXIMOS PERMISIBLES DE CONTAMINANTES EN LAS  DESCARGAS DE AGUAS RESIDUALES A LOS SISTEMAS DE ALCANTARILLADO.,1998-06-03T00:00:00Z,1998-06-04T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/1998/002-ecol.pdf
NOM-002-SESH-2009,"BODEGAS DE DISTRIBUCIÓN DE GAS L.P. DISEÑO, CONSTRUCCIÓN, OPERACIÓN Y CONDICIONES DE SEGURIDAD.",2009-05-20T00:00:00Z,2009-07-19T00:00:00Z,DEFINITIVA,ESTA NORMA NO TIENE CONCORDANCIA CON NORMAS INTERNACIONALES O NORMAS MEXICANAS.,GAS,NO APLICA,AGUA Y SUMINISTRO DE GAS POR DUCTOS,SECRETARÍA DE ENERGÍA,CCNN DE GAS L.P. (SEDG),http://www.economia-noms.gob.mx/normas/noms/2009/002sesh2009.pdf
NOM-002-SSA1-1993,SALUD AMBIENTAL. BIENES Y SERVICIOS. ENVASES METÁLICOS PARA ALIMENTOS  Y BEBIDAS. ESPECIFICACIONES DE LA COSTURA. REQUISITOS SANITARIOS.,1994-11-14T00:00:00Z,1994-11-15T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,ENVASES,NO APLICA,FABRICACIÓN DE PRODUCTOS METÁLICOS,SECRETARÍA DE SALUD,CCNN DE PREVENCION Y CONTROL DE ENFERMEDADES (SSA2).,http://www.economia-noms.gob.mx/normas/noms/1994/002-ssa1.pdf
NOM-002-SSA3-2007,"PARA LA ORGANIZACIÓN, FUNCIONAMIENTO E INGENIERÍA SANITARIA DE LOS SERVICIOS DE RADIOTERAPIA.",2009-06-11T00:00:00Z,2009-09-03T00:00:00Z,DEFINITIVA,LA PRESENTE NORMA OFICIAL MEXICANA NO TIENE CONCORDANCIA CON NINGUNA NORMA INTERNACIONAL.,SERVICIOS,NO APLICA,HOSPITALES,SECRETARÍA DE SALUD,"CCNN DE INNOVACION, DESARROLLO, TECNOLOGIAS E INFORMACION EN SALUD",http://www.economia-noms.gob.mx/normas/noms/2009/002ssa32009.pdf
NOM-002-STPS-2010,CONDICIONES DE SEGURIDAD-PREVENCIÓN Y PROTECCIÓN CONTRA INCENDIOS EN LOS CENTROS DE TRABAJO.,2010-12-09T00:00:00Z,2011-06-09T00:00:00Z,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL .,PROTECCION LABORAL,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE TRABAJO Y PREVISIÓN SOCIAL,CCNN DE SEGURIDAD Y SALUDA EN EL TRABAJO (STPS),http://www.economia-noms.gob.mx/normas/noms/2010/002stps2010.pdf
NOM-002-ZOO-1994,ACTIVIDADES TÉCNICAS Y OPERATIVAS APLICABLES AL PROGRAMA NACIONAL PARA  EL CONTROL DE LA ABEJA AFRICANA.,2001-06-25T00:00:00Z,2001-04-26T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,PROTECCION ANIMAL,NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION ZOOSANITARIA (ZOO),http://www.economia-noms.gob.mx/normas/noms/2001/mod002zoo.pdf
NOM-002/1-SCT/2009,"LISTADO DE LAS SUBSTANCIAS Y MATERIALES PELIGROSOS MÁS USUALMENTE TRANSPORTADOS, INSTRUCCIONES Y USO DE ENVASES Y EMBALAJES, RECIPIENTES INTERMEDIOS PARA GRANELES (RIG S), GRANDES ENVASES Y EMBALAJES, CISTERNAS PORTÁTILES, CONTENEDORES DE GAS DE ELEMENTOS MÚLTIPLES Y CONTENEDORES PARA GRANELES PARA EL TRANSPORTE DE MATERIALES Y RESIDUOS PELIGROSOS.",2010-03-04T00:00:00Z,2010-05-03T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO DE LA NOM,MATERIALES PELIGROSOS,TOTALMENTE,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE TERRESTRE (SCT2),http://www.economia-noms.gob.mx/normas/noms/2010/002-1sct2010.pdf
NOM-003-CONAGUA-1996,REQUISITOS DURANTE LA CONSTRUCCIÓN DE POZOS DE EXTRACCIÓN DE AGUA PARA PREVENIR LA CONTAMINACIÓN DE ACUÍFEROS.,1997-02-03T00:00:00Z,1997-05-04T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION AMBIENTAL,NO APLICA,AGUA Y SUMINISTRO DE GAS POR DUCTOS,SEMARNAT,CCNN DEL SECTOR AGUA (CONAGUA),http://www.economia-noms.gob.mx/normas/noms/NOM'/003-cna.pdf
NOM-003-ENER-2011,"EFICIENCIA TÉRMICA DE CALENTADORES DE AGUA PARA USO DOMÉSTICO Y COMERCIAL. LÍMITES, MÉTODO DE PRUEBA Y ETIQUETADO.",2011-08-09T00:00:00Z,2011-11-07T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,CALENTADORES DE AGUA,NO APLICA,OTRAS INDUSTRIAS MANUFACTURERAS,SECRETARÍA DE ENERGÍA,CCNN PARA LA PRESERVACION Y USO RACIONAL DE LOS RECURSOS ENERGETICOS (ENER),http://www.economia-noms.gob.mx/normas/noms/2010/003ener2011.pdf
NOM-003-NUCL-1994,CLASIFICACIÓN DE INSTALACIONES O LABORATORIOS QUE UTILIZAN FUENTES  ABIERTAS.,1996-02-07T00:00:00Z,1996-02-08T00:00:00Z,DEFINITIVA,O.I.E.N. VER BIBLIOGRAFIA.,PROTECCION AMBIENTAL,NO APLICA,EDIFICACIÓN,SECRETARÍA DE ENERGÍA,CCNN DE SEGURIDAD NUCLEAR Y SALVAGUARDIAS (NUCL),http://www.economia-noms.gob.mx/normas/noms/1996/003-nucl.pdf
NOM-003-PESC-1993,"PARA REGULAR EL APROVECHAMIENTO DE LAS ESPECIES DE SARDINA MONTERREY,  PIÑA, CRINUDA, BOCONA, JAPONESA Y DE LAS ESPECIES ANCHOVETA Y  MACARELA, CON EMBARCACIONE",1993-12-31T00:00:00Z,1994-01-01T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,SARDINA,NO APLICA,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/1993/003pesc.pdf
NOM-003-SCFI-2000,PRODUCTOS ELÉCTRICOS-ESPECIFICACIONES DE SEGURIDAD.,2001-01-10T00:00:00Z,2001-04-08T00:00:00Z,DEFINITIVA,IEC 60335-1 E IEC 60745-1,ELECTRODOMESTICOS,TOTALMENTE,FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2001/003scfi.pdf
